ALLOUVILLE-BELLEFOSSE,ECOLE ELEMENTAIRE NICOLAS VANIER,Elémentaire,PLACE PAUL LEVIEUX,,02 35 96 07 35,0762413K@ac-rouen.fr,0762413K,
ALVIMARE,<Sans nom> - MATERNELLE,Maternelle,4 RUE DES TILLEULS,,02 35 96 03 79,0761377J@ac-rouen.fr,0761377J,
AMBRUMESNIL,<Sans nom> - ELEMENTAIRE,Elémentaire,RUE DE L ANCIENNE MARE,,02 35 83 07 79,0760847H@ac-rouen.fr,0760847H,
AMFREVILLE-LA-MI-VOIE,ECOLE ELEMENTAIRE GERARD PHILIPE,Elémentaire,PARC LACOSTE,,02 35 23 45 23,0762519A@ac-rouen.fr,0762519A,
AMFREVILLE-LA-MI-VOIE,ECOLE MATERNELLE LOUISE MICHEL,Maternelle,ROUTE DE MESNIL ESNARD,,02 35 23 77 20,0762520B@ac-rouen.fr,0762520B,
ANCEAUMEVILLE,ECOLE ELEMENTAIRE CAMILLE CLAUDEL,Elémentaire,PLACE EVODE CHEVALIER,,02 35 32 36 25,0760613D@ac-rouen.fr,0760613D,
ANCEAUMEVILLE,ECOLE MATERNELLE CAMILLE CLAUDEL,Maternelle,PLACE EVODE CHEVALIER,,02 35 32 36 25,0760613D@ac-rouen.fr,0760613D,
ANCOURT,<Sans nom> - MATERNELLE,Maternelle,5 RUE DES MOULINS,,02 35 04 13 32,0760389K@ac-rouen.fr,0760389K,
ANCOURTEVILLE-SUR-HERICOURT,<Sans nom> - ELEMENTAIRE,Elémentaire,50 RUE DE L EGLISE,Mme Basire,02 35 96 92 29,0760885Z@ac-rouen.fr,0760885Z,Mme Basire : 02 35 96 29 52
ANCRETIEVILLE-SAINT-VICTOR,<Sans nom> - ELEMENTAIRE,Elémentaire,2 RUE NOTRE DAME,,02 35 56 03 19,0761038R@ac-rouen.fr,0761038R,
ANCRETIEVILLE-SAINT-VICTOR,<Sans nom> - MATERNELLE,Maternelle,2 RUE NOTRE DAME,,02 35 56 03 19,0761038R@ac-rouen.fr,0761038R,
ANGERVILLE-BAILLEUL,<Sans nom> - ELEMENTAIRE,Elémentaire,12 ROUTE DE L ECOLE,,02 35 27 70 83,0761439B@ac-rouen.fr,0761439B,
ANGERVILLE-L ORCHER,ECOLE ELEMENTAIRE BERNARD GAUVAIN,Elémentaire,8 RUE DES ECOLES,,02 35 20 93 75,0761878D@ac-rouen.fr,0761878D,
ANGERVILLE-L ORCHER,ECOLE MATERNELLE BERNARD GAUVAIN,Maternelle,8 RUE DES ECOLES,,02 35 20 93 75,0761878D@ac-rouen.fr,0761878D,
ANGERVILLE-LA-MARTEL,<Sans nom> - ELEMENTAIRE,Elémentaire,ROUTE DE L EGLISE,,02 35 29 99 33,0761013N@ac-rouen.fr,0761013N,
ANGIENS,<Sans nom> - ELEMENTAIRE,Elémentaire,RUE DE LA MER,,02 35 97 02 93,0761395D@ac-rouen.fr,0761395D,
ANGIENS,<Sans nom> - MATERNELLE,Maternelle,2 RUE D ICLON,,02 35 97 03 91,0761396E@ac-rouen.fr,0761396E,
ANGLESQUEVILLE-L ESNEVAL,<Sans nom> - ELEMENTAIRE,Elémentaire,4 PLACE DE L EGLISE,,02 35 20 39 15,0760643L@ac-rouen.fr,0760643L,
ANGLESQUEVILLE-LA-BRAS-LONG,<Sans nom> - ELEMENTAIRE,Elémentaire,ROUTE DE L EGLISE,,02 35 57 31 57,0761397F@ac-rouen.fr,0761397F,
ANNEVILLE-AMBOURVILLE,ECOLE ELEMENTAIRE JEAN MERMOZ,Elémentaire,RUE DES ECOLES,,02 35 37 58 78,0761469J@ac-rouen.fr,0761469J,
ANNEVILLE-AMBOURVILLE,ECOLE MATERNELLE JEAN MERMOZ,Maternelle,RUE DES ECOLES,,02 35 37 58 78,0761469J@ac-rouen.fr,0761469J,
ANNEVILLE-SUR-SCIE,<Sans nom> - ELEMENTAIRE,Elémentaire,76 ROUTE DE DIEPPE,,02 35 84 34 90,0763360P@ac-rouen.fr,0763360P,
ANNEVILLE-SUR-SCIE,<Sans nom> - ELEMENTAIRE-2,Elémentaire,37 ROUTE DE DIEPPE,,02 35 04 05 66,0760707F@ac-rouen.fr,0760707F,
ANNEVILLE-SUR-SCIE,<Sans nom> - MATERNELLE,Maternelle,76 ROUTE DE DIEPPE,,02 35 84 34 90,0763360P@ac-rouen.fr,0763360P,
ANNOUVILLE-VILMESNIL,<Sans nom> - ELEMENTAIRE,Elémentaire,4 RUE DE LA MAIRIE,,02 35 27 62 83,0761440C@ac-rouen.fr,0761440C,
ANQUETIERVILLE,<Sans nom> - ELEMENTAIRE,Elémentaire,198 ROUTE DE L EGLISE,,02 35 95 24 68,0760667M@ac-rouen.fr,0760667M,
ARGUEIL,ECOLE ELEMENTAIRE LE MONT-HULEU,Elémentaire,9 RUE DU MONT SAUVEUR,,02 35 09 96 16,0760306V@ac-rouen.fr,0760306V,
ARGUEIL,ECOLE MATERNELLE LE MONT-HULEU,Maternelle,9 RUE DU MONT SAUVEUR,,02 35 09 96 16,0760306V@ac-rouen.fr,0760306V,
ARQUES-LA-BATAILLE,<Sans nom> - ELEMENTAIRE,Elémentaire,PLACE LEON BAUDELOT,,02 35 85 51 07,0762707E@ac-rouen.fr,0762707E,
ARQUES-LA-BATAILLE,<Sans nom> - MATERNELLE,Maternelle,3 RUE DES BOURGUIGNONS,,02 35 85 51 68,0760848J@ac-rouen.fr,0760848J,
AUBEGUIMONT,<Sans nom> - ELEMENTAIRE,Elémentaire,27 RUE CENTRALE,,02 35 93 73 29,0760326S@ac-rouen.fr,0760326S,
AUBERMESNIL-AUX-ERABLES,<Sans nom> - ELEMENTAIRE,Elémentaire,8 RUE DE L EGLISE,,02 35 93 41 45,0760587A@ac-rouen.fr,0760587A,
AUBERMESNIL-BEAUMAIS,<Sans nom> - ELEMENTAIRE,Elémentaire,32 RUE HENRY IV,,02 35 84 54 75,0760851M@ac-rouen.fr,0760851M,
AUBERVILLE-LA-CAMPAGNE,<Sans nom> - ELEMENTAIRE,Elémentaire,4 RUE DU BOURG,,02 35 38 92 00,0760733J@ac-rouen.fr,0760733J,
AUBERVILLE-LA-RENAULT,<Sans nom> - ELEMENTAIRE,Elémentaire,185 RUE DE LA MAIRIE,,02 35 29 55 59,0763334L@ac-rouen.fr,0763334L,
AUFFAY,<Sans nom> - MATERNELLE,Maternelle,RUE JEAN MACE,,02 35 32 03 87,0762938F@ac-rouen.fr,0762938F,
AUFFAY,COLLEGE RENE COTY,Collège,RUE EMMANUEL LECOEUR,Deleens Didier ,02 32 80 83 00,0761956N@ac-rouen.fr,0761956N,
AUFFAY,ECOLE ELEMENTAIRE JULES FERRY,Elémentaire,19 RUE JULES FERRY,,02 35 32 82 52,0760987K@ac-rouen.fr,0760987K,
AUMALE,COLLEGE HENRY DUNANT,Collège,RUE HENRY DUNANT,Gellee Marie-Hélène ,02 35 93 43 50 ,0762107C@ac-rouen.fr,0762107C,
AUMALE,COLLEGE SAINT-JOSEPH,Collège,20 RUE CLAUDE DAMOIS,,02 35 93 40 42,0761722J@ac-rouen.fr,0761722J,
AUMALE,ECOLE ELEMENTAIRE GUY DE MAUPASSANT,Elémentaire,10 RUE JEAN MOULIN,,02 35 93 40 57,0761879E@ac-rouen.fr,0761879E,
AUMALE,ECOLE ELEMENTAIRE JEANNE D ARC,Elémentaire,22 BOULEVARD DES FONTAINES,,02 35 93 41 51,0761995F@ac-rouen.fr,0761995F,
AUMALE,ECOLE MATERNELLE CHARLES PERRAULT,Maternelle,1 RUE HENRI DUNANT,,02 35 93 40 65,0760323N@ac-rouen.fr,0760323N,
AUPPEGARD,<Sans nom> - ELEMENTAIRE,Elémentaire,108 RUE LEMARINIER,,02 35 04 12 18,0760350T@ac-rouen.fr,0760350T,
AUPPEGARD,<Sans nom> - MATERNELLE,Maternelle,108 RUE LEMARINIER,,02 35 04 12 18,0760350T@ac-rouen.fr,0760350T,
AUTHIEUX-RATIEVILLE,<Sans nom> - ELEMENTAIRE,Elémentaire,419 RUE DE L ECOLE,,02 35 33 10 03,0760614E@ac-rouen.fr,0760614E,
AUTRETOT,<Sans nom> - ELEMENTAIRE,Elémentaire,5 ALLEE DES TISSERANDS,,02 35 56 65 73,0761061R@ac-rouen.fr,0761061R,
AUTRETOT,<Sans nom> - MATERNELLE,Maternelle,5 ALLEE DES TISSERANDS,,02 35 56 65 73,0761061R@ac-rouen.fr,0761061R,
AUZEBOSC,<Sans nom> - ELEMENTAIRE,Elémentaire,309 RUE DE L EGLISE,,02 35 56 70 25,0761062S@ac-rouen.fr,0761062S,
AUZEBOSC,<Sans nom> - LYCEE,Lycée,ROUTE DE CAUDEBEC,,02 35 95 94 80,0761315S@ac-rouen.fr,0761315S,
AUZEBOSC,<Sans nom> - MATERNELLE,Maternelle,309 RUE DE L EGLISE,,02 35 56 70 25,0761062S@ac-rouen.fr,0761062S,
AUZOUVILLE-L ESNEVAL,ECOLE ELEMENTAIRE VAL DES MARES,Elémentaire,13 ROUTE ETENNEMARE,,02 35 96 80 79,0761039S@ac-rouen.fr,0761039S,
AUZOUVILLE-SUR-RY,<Sans nom> - ELEMENTAIRE,Elémentaire,72 CHEMIN DE LA CÔTE,,02 35 23 55 56,0760434J@ac-rouen.fr,0760434J,
AUZOUVILLE-SUR-SAANE,<Sans nom> - ELEMENTAIRE,Elémentaire,20 ROUTE DE LA MER,,02 35 04 16 51,0760351U@ac-rouen.fr,0760351U,
AVESNES-EN-BRAY,<Sans nom> - ELEMENTAIRE,Elémentaire,1 PLACE DE LA PETITE MORETTE,,02 35 90 34 62,0761270T@ac-rouen.fr,0761270T,
AVESNES-EN-VAL,<Sans nom> - ELEMENTAIRE,Elémentaire,VILLAGE,,02 35 93 64 84,0761596X@ac-rouen.fr,0761596X,
AVREMESNIL,<Sans nom> - ELEMENTAIRE,Elémentaire,CROIX LORGERIE,,02 35 85 37 99,0762627T@ac-rouen.fr,0762627T,
AVREMESNIL,<Sans nom> - MATERNELLE,Maternelle,CROIX LORGERIE,,02 35 85 37 99,0762627T@ac-rouen.fr,0762627T,
BACQUEVILLE-EN-CAUX,COLLEGE GUY DE MAUPASSANT,Collège,RUE JULES MOREL,Courtais Thibaud ,02 35 83 20 07,0760004S@ac-rouen.fr,0760004S,
BACQUEVILLE-EN-CAUX,ECOLE ELEMENTAIRE BACQUEVILLE-PIERVILLE,Elémentaire,ROUTE DE PIERREVILLE,Castel Stephane / Motais Anne,02 35 83 21 12,0762977Y@ac-rouen.fr,0762977Y,Castel Stephane (stephane.castel.740@orange.fr) / Motais Anne (anne.hazard@ac-rouen.fr) : 06 82 70 28 58
BACQUEVILLE-EN-CAUX,ECOLE ELEMENTAIRE SAINT LEONARD,Elémentaire,19 RUE DU DOCTEUR BOURGOIX,,02 35 83 28 34,0761996G@ac-rouen.fr,0761996G,
BACQUEVILLE-EN-CAUX,ECOLE MATERNELLE PIERREVILLE,Maternelle,10 ROUTE DE PIERREVILLE,,02 35 83 74 23,0762658B@ac-rouen.fr,0762658B,
BAILLEUL-NEUVILLE,<Sans nom> - ELEMENTAIRE,Elémentaire,PLACE DE L ECOLE,,02 32 97 02 12,0760699X@ac-rouen.fr,0760699X,
BAILLOLET,<Sans nom> - MATERNELLE,Maternelle,RUE DE L ECOLE,,02 35 94 95 34,0760701Z@ac-rouen.fr,0760701Z,
BAILLY-EN-RIVIERE,<Sans nom> - ELEMENTAIRE,Elémentaire,2 RUE DES ECOLES,,02 35 85 92 27,0762069L@ac-rouen.fr,0762069L,
BAILLY-EN-RIVIERE,<Sans nom> - MATERNELLE,Maternelle,2 RUE DES ECOLES,,02 35 85 92 27,0762069L@ac-rouen.fr,0762069L,
BAONS-LE-COMTE,ECOLE MATERNELLE JEAN DE LA FONTAINE,Maternelle,376 RUE DE L ECHEVIN,,02 35 56 66 72,0761063T@ac-rouen.fr,0761063T,
BARDOUVILLE,<Sans nom> - ELEMENTAIRE,Elémentaire,RUE DE L ECOLE,,02 35 37 07 06,0761470K@ac-rouen.fr,0761470K,
BARDOUVILLE,<Sans nom> - MATERNELLE,Maternelle,RUE DE L ECOLE,,02 35 37 07 06,0761470K@ac-rouen.fr,0761470K,
BARENTIN,COLLEGE ANDRE MARIE,Collège,351 BOULEVARD DE NORMANDIE,Goulay Régis ,02 35 92 36 69,0762764S@ac-rouen.fr,0762764S,
BARENTIN,COLLEGE CATHERINE BERNARD,Collège,AVENUE ANDRE MAUROIS,Absire Pascale ,02 32 94 93 50,0762286X@ac-rouen.fr,0762286X,
BARENTIN,ECOLE ELEMENTAIRE ANATOLE FRANCE-ANNA DE NOAILLE,Elémentaire,RUE FRANCIS YARD,,02 35 91 06 06,0763022X@ac-rouen.fr,0763022X,
BARENTIN,ECOLE ELEMENTAIRE LA CHAMPMESLE FONTENELLE,Elémentaire,3 RUE LALIZEL,,02 35 91 07 10,0762522D@ac-rouen.fr,0762522D,
BARENTIN,ECOLE ELEMENTAIRE LOUIS PERGAUD,Elémentaire,76 AVENUE ARISTIDE BRIAND,,02 35 91 02 60,0760904V@ac-rouen.fr,0760904V,
BARENTIN,ECOLE ELEMENTAIRE MARCEL DUPRE,Elémentaire,RUE DANIEL AUBER,Remoussin Stéphane,02 35 91 03 23,0762233P@ac-rouen.fr,0762233P,Remoussin Stéphane
BARENTIN,ECOLE ELEMENTAIRE PIERRE BEREGOVOY,Elémentaire,ALLEE DES ECOLES LE HAMELET,,02 35 91 02 80,0760901S@ac-rouen.fr,0760901S,
BARENTIN,ECOLE ELEMENTAIRE PIERRE CORNEILLE-MME DE SEVIGNE,Elémentaire,72 SQUARE BADIN,,02 35 91 00 50,0762521C@ac-rouen.fr,0762521C,
BARENTIN,ECOLE MATERNELLE ANDRE MARIE,Maternelle,3 RUE DE VERDUN,,02 35 91 09 09,0762349R@ac-rouen.fr,0762349R,
BARENTIN,ECOLE MATERNELLE BERNARD HAVEL,Maternelle,2 RUE JEAN TITELOUZE,,02 35 91 15 15,0762234R@ac-rouen.fr,0762234R,
BARENTIN,ECOLE MATERNELLE FRANCISQUE POULBOT,Maternelle,RUE COLETTE YVER,,02 35 91 26 28,0760936E@ac-rouen.fr,0760936E,
BARENTIN,ECOLE MATERNELLE LA MESANGERE,Maternelle,3 RUE GUILLAUME LALIZEL,,02 35 91 07 07,0760935D@ac-rouen.fr,0760935D,
BARENTIN,ECOLE MATERNELLE LOUIS PERGAUD,Maternelle,76 AVENUE ARISTIDE BRIAND,,02 35 91 02 60,0760904V@ac-rouen.fr,0760904V,
BARENTIN,ECOLE MATERNELLE MARIE PAPE CARPANTIER,Maternelle,8 RUE FRANCIS YARD,,02 35 91 15 50,0760934C@ac-rouen.fr,0760934C,
BARENTIN,LYCEE EDMOND LABBE,Lycée,52 AVENUE ARISTIDE BRIAND,,02 32 94 96 96,0760007V@ac-rouen.fr,0760007V,
BARENTIN,LYCEE THOMAS CORNEILLE,Lycée,AVENUE ANDRE MAUROIS,,02 32 94 96 36,0760005T@ac-rouen.fr,0760005T,
BAROMESNIL,<Sans nom> - ELEMENTAIRE,Elémentaire,1 ROUTE DE SAINT REMY,,02 35 50 24 73,0761539K@ac-rouen.fr,0761539K,
BAZINVAL,<Sans nom> - ELEMENTAIRE,Elémentaire,2 RUE DE LA FORÊT,,02 32 97 02 71,0760588B@ac-rouen.fr,0760588B,
BEAUBEC-LA-ROSIERE,<Sans nom> - ELEMENTAIRE,Elémentaire,238 PLACE DE LA PRESLE,,02 32 89 00 90,0761415A@ac-rouen.fr,0761415A,
BEAUMONT-LE-HARENG,<Sans nom> - ELEMENTAIRE,Elémentaire,110 ROUTE EAWY,,02 35 33 84 93,0761628G@ac-rouen.fr,0761628G,
BEAUREPAIRE,<Sans nom> - ELEMENTAIRE,Elémentaire,2 RUE DU BOCAGE,,02 35 28 72 61,0760644M@ac-rouen.fr,0760644M,
BEAUSSAULT,<Sans nom> - MATERNELLE,Maternelle,480 RUE PRINCIPALE,,02 35 09 29 71,0761416B@ac-rouen.fr,0761416B,
BEAUVAL-EN-CAUX,<Sans nom> - MATERNELLE,Maternelle,ROUTE DU TORTILLARD,,02 35 32 60 28,0760988L@ac-rouen.fr,0760988L,
BEAUVOIR-EN-LYONS,<Sans nom> - ELEMENTAIRE,Elémentaire,PLACE DU COMMANDANT SCHLOESING,,02 35 09 69 71,0760307W@ac-rouen.fr,0760307W,
BEAUVOIR-EN-LYONS,<Sans nom> - MATERNELLE,Maternelle,PLACE DU COMMANDANT SCHLOESING,,02 35 09 69 71,0760307W@ac-rouen.fr,0760307W,
