UAI,Lat -WGS84,Lon – WGS84,,
0760197B,49,4458393,1,98826651
0760203H,49,44221509,1,118791448
0760205K,49,45069818,1,105678734
0760207M,49,44555896,1,9620474
0760210R,49,44457436,1,12517748
0760211S,49,44675137,1,75293619
0760216X,49,44143549,1,105579755
0760217Y,49,42713058,1,78437789
0760221C,49,4405841,1,87396569
0760223E,49,45861734,1,137176669
0760230M,49,44238652,1,118772775
0760237V,49,44303087,1,102508364
0760238W,49,45776793,1,13689572
0760244C,49,44538675,1,9617388
0760245D,49,42584342,1,91527756
0760246E,49,43175029,1,101644827
0760247F,49,44519088,1,78028354
0760249H,49,42845841,1,87001984
0760250J,49,43648489,1,79536228
0760252L,49,43547342,1,125827338
0760253M,49,44043553,1,88065262
0760254N,49,44315344,1,109366151
0760255P,49,4482735,1,78975043
0760256R,49,45862309,1,130839008
0760257S,49,44315259,1,105631005
0760258T,49,41876447,1,76674412
0760259U,49,42749961,1,77897471
0760260V,49,45301044,1,66591985
0760262X,49,45496084,1,126793312
0760263Y,49,53129099,0,356858014
0760265A,49,53909542,0,313523546
0760266B,49,56622612,0,311971116
0760267C,49,55699539,0,367854748
0760268D,49,571278,0,327535064
0760269E,49,50812774,0,301753836
0760270F,49,52726089,0,40255835
0760271G,49,50279277,0,266215346
0760272H,49,55734932,0,287932161
0760274K,49,57382525,0,375453755
0760279R,49,50422813,0,361781702
0760284W,49,48694427,0,453558635
0760285X,49,54656876,0,414576145
0760288A,49,67115306,1,284525559
0760289B,49,63475347,1,25672044
0760290C,49,66227072,1,349568782
0760291D,49,65608287,1,388590131
0760292E,49,61022289,1,252246542
0760293F,49,67486663,1,425217735
0760294G,49,62229582,1,384470394
0760296J,49,43765795,1,98316741
0760298L,49,6093272,1,332014034
0760299M,49,64365579,1,363712802
0760300N,49,60441941,1,282971369
0760301P,49,63828329,1,29988579
0760302R,49,65370846,1,432959754
0760305U,49,70987901,1,305141994
0760306V,49,54031768,1,516527919
0760307W,49,50351595,1,586042176
0760310Z,49,45971577,1,393317533
0760314D,49,51795358,1,479927234
0760316F,49,53055012,1,569163053
0760320K,49,49341162,1,481421297
0760322M,49,54666409,1,488453541
0760323N,49,7729331,1,750468977
0760326S,49,80782814,1,673423008
0760330W,49,69351058,1,636091375
0760334A,49,7338691,1,704915509
0760335B,49,74739912,1,650880428
0760337D,49,78382176,1,690090117
0760339F,49,76890922,1,641913706
0760340G,49,80833277,1,644534202
0760342J,49,7214515,1,627746878
0760350T,49,83024015,1,28313529
0760351U,49,74529515,0,933439501
0760356Z,49,81445888,0,950205561
0760358B,49,8108706,0,913643545
