;;;;Demandes d'interventions;;;;;;;
;;;;;2015-2016;;;;;;
;;;;;;;;;;;
Date;Ville;Etablissement;Classe;Nb élève;Plaideur;Thème;Horaire;Matériel;Genre;Contact;Remarques
03/03/2016;LE HAVRE;ECOLE MATERNELLE JULES GUESDE;Maternelle-MS/GS;40;Jean-Pierre;Santé - Eau;Matin;Audio-Vidéo disponible;Mme;Desseaux Dorothee;divisible en 2 ?
03/03/2016;LE HAVRE;ECOLE MATERNELLE JULES GUESDE;Maternelle-PS/MS;20;Cath.-Guest;Santé - Eau;Matin;;Mme;Desseaux Dorothee;vérifier dispo matos si en //
03/03/2016;LE HAVRE;ECOLE MATERNELLE JULES GUESDE;Maternelle-PS;20;Cath.-Guest;Santé - Eau;Matin;;Mme;Desseaux Dorothee;vérifier dispo matos si en //
;SAINT-MARTIN-DU-BEC;<Sans nom> - ELEMENTAIRE;Elémentaire-CP-CE1;17;Monique;Droits - CIDE;;Audio-Vidéo disponible;Mme;Tollet Berangere;
;ECALLES-ALIX;<Sans nom> - ELEMENTAIRE;Elémentaire-CM1-CM2;22;Monique;Santé - Eau;;Audio-Vidéo disponible;M;Unbekandt Luc;
;THIOUVILLE;<Sans nom> - ELEMENTAIRE;Elémentaire-CE1-CE2;23;Monique;Droits - Education;;Vidéo disponible - TBI;Mme;Savalle;cf Leuleu
;LA LONDE;<Sans nom> - ELEMENTAIRE;Elémentaire-CP-CE1;25;Jean-Pierre;Droits - CIDE;;Non disponible;M;Cordelier;
27/11/2015;BOIS-HIMONT;ECOLE ELEMENTAIRE RAOUL DODELIN;Elémentaire-CM1-CM2;18;Monique;Santé - Eau;;Audio disponible;;;
;THIOUVILLE;<Sans nom> - ELEMENTAIRE;Elémentaire-CE2-CM1;22;Monique;Droits - Travail des enfants;;Vidéo disponible - TBI;Mme;Leleu Stéphanie;cf Savalle
29/04/2016;SEPT-MEULES;<Sans nom> - ELEMENTAIRE;Elémentaire-CP-CE1;16;Cécile;Santé - Eau;après-midi;Non disponible;;Leclercq;
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE FLAVIGNY;Elémentaire-CM1-CM2;26;Isabelle;Droits - CIDE;;Vidéo disponible - TBI;Mme;Couty Annabelle;
03/03/2016;LE HAVRE;ECOLE ELEMENTAIRE FRANCOIS RASPAIL;Elémentaire-CM1;28;Jean-Pierre;Droits - Travail des enfants;Après-midi;Vidéo disponible - TBI;Mme;Vergnaduzzo Laurence;
;BACQUEVILLE-EN-CAUX;ECOLE ELEMENTAIRE BACQUEVILLE-PIERVILLE;Elémentaire-CE2;26;Monique;Droits - Education;;Audio-Vidéo disponible;Mme;Castel;Theme multiple
12/11/2015;SAINT-LEGER-DU-BOURG-DENIS;ECOLE ELEMENTAIRE RENE COTY I;Elémentaire-CP;23;Cécile;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Limare;vérifier dispo matos si en //
12/11/2015;SAINT-LEGER-DU-BOURG-DENIS;ECOLE ELEMENTAIRE RENE COTY I;Elémentaire-CP;22;Cécile;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Limare;vérifier dispo matos si en //
12/11/2015;SAINT-LEGER-DU-BOURG-DENIS;ECOLE ELEMENTAIRE RENE COTY I;Elémentaire-CE1;26;Cécile;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Limare;vérifier dispo matos si en //
12/11/2015;SAINT-LEGER-DU-BOURG-DENIS;ECOLE ELEMENTAIRE RENE COTY I;Elémentaire-CE1-CE2;21;Cécile;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Limare;vérifier dispo matos si en //
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CP;20;Jean-Pierre;;;Vidéo disponible - TBI;M;Vincent Pascal;Theme multiple
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CP-CE1;18;Jean-Pierre;;;Vidéo disponible - TBI;M;Vincent Pascal;vérifier dispo matos si en //
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CE1;22;Jean-Pierre;;;Vidéo disponible - TBI;M;Vincent Pascal;
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CE2;23;Cécile;;;Vidéo disponible - TBI;M;Vincent Pascal;
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CM1;28;Cécile;;;Vidéo disponible - TBI;M;Vincent Pascal;
10/03/2016;ROUEN;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CM2;27;Cécile;;;Vidéo disponible - TBI;M;Vincent Pascal;
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CP;25;Cath.-Guest;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CP-CE1;24;Cath.-Guest;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
11/12/2015;GRAND-COURONNE;ECOLE ELEMENTAIRE FERDINAND BUISSON;Elémentaire-CE1;26;Cath.-Guest;Droits - CIDE;Matin;Non disponible;Mme;Le Rall;
